Income,Age,Dependents,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Savings,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous,City Tier,Occupation_Retired,Occupation_Self_Employed,Occupation_Student
26858.59659,34,2,5371.719318,0.0,869.522617,2818.44446,1543.018778,649.3781027,1050.241738,1626.143346,1137.351325,1551.723167,564.2350071,9676.818733,540.306561,119.3471393,141.8660892,234.1311677,286.6684081,6.603211579,56.30687375,97.38860573,1,1,0,0
24875.28355,52,4,4975.05671,3112.609398,635.9071701,3034.329665,1276.155163,692.827225,660.1868515,1092.689024,1169.095816,1445.215694,515.5103003,6265.700532,788.953124,68.16076564,61.71250517,187.1737501,194.1171299,47.29459127,67.38812048,96.55707615,1,0,0,0
24875.61027,57,4,4975.122053,0.0,1038.230996,3250.067756,1760.164812,1049.067453,751.0168146,1024.309765,1022.295439,2003.852035,402.2178434,7599.2653,957.6191161,521.6838481,135.9258653,148.9523259,86.56725556,13.14368314,33.96184274,96.67592468,1,0,1,0
20606.73312,32,4,6182.019936,3562.488826,1018.58994,3066.86722,1170.790666,688.0598377,418.2338157,921.2327171,830.2370548,1939.226547,446.0686884,362.9178724,822.9740227,212.9980592,85.48914206,97.8129465,252.3443834,9.984249639,59.95784809,80.75435333,0,1,0,0
20706.82234,31,0,3106.02335,0.0,1031.783366,3037.268327,1459.275062,451.4112394,785.2896337,1548.075002,819.0986805,0.0,410.0265115,8058.571162,503.5558892,392.3204978,35.42872265,230.3297643,262.8873699,38.33570055,0.0,77.80170304,2,0,0,1
20668.55739,31,4,4133.711478,0.0,754.4485693,2597.3988,1123.038045,878.8794914,643.1505177,1408.90489,1019.246091,1506.356603,483.8114522,6119.611453,554.2005571,267.3011289,119.5698251,123.9569205,271.593064,1.498783495,29.69579812,94.487766,1,0,0,0
36407.22336,54,3,10922.16701,4583.248323,970.7868243,4685.673101,2503.094431,1328.961973,822.8832107,2335.941359,1153.748093,1940.1282,570.1235762,4590.467261,445.7033427,190.1080916,346.3105752,85.13048778,474.0086841,40.96936102,85.02915054,40.63252308,0,1,0,0
6492.016466,22,3,973.8024698,0.0,184.2433408,955.4994258,494.8241919,309.239688,229.8259065,471.8695443,222.648418,590.0480388,179.089302,1880.92614,180.4713076,38.25459153,59.82853565,49.16050539,60.74243966,3.924078125,20.41794475,46.55923852,2,1,0,0
7547.852726,39,4,1509.570545,0.0,330.1888107,1032.727434,568.2360359,266.4384249,277.4655546,510.5954048,235.7124857,521.9763337,133.4865208,2161.455175,208.1129957,114.5886579,72.17353434,77.91914053,97.97092863,2.984988736,4.878914052,36.83948609,1,0,1,0
19132.09628,45,2,3826.419256,2525.405342,590.192701,2515.723512,1164.06776,661.7513297,660.7490157,1159.580984,919.4335322,1442.91231,461.5081431,3204.352395,323.1398578,108.9068552,183.1182671,101.1282263,314.585174,17.26750798,66.98641522,92.36556012,1,0,0,1
13342.20722,62,4,2668.441444,2540.481211,352.8857323,1920.104094,961.3796911,622.272257,331.7045334,985.6345344,531.5572946,1043.2012,286.2550555,1098.290171,568.1685635,205.1819435,154.8389223,96.39822268,263.2269614,20.00306314,5.415723956,61.40401027,1,1,0,0
38574.64702,21,4,7714.929404,0.0,1838.336035,5126.823467,2614.478029,1267.553419,1802.739439,2081.389525,1196.044202,3475.97678,843.8000303,10612.57669,862.8540911,202.7827854,217.6594,113.2194217,435.1034273,6.837142834,41.43475988,179.7965828,1,0,0,0
14509.13021,55,4,4352.739064,829.4411882,438.5973652,1506.254004,811.7024918,515.5836354,414.2340655,766.3425241,656.6499363,1449.957542,285.0184593,2482.609938,384.1777399,194.041156,34.81600319,99.83971043,55.81290721,7.778122498,41.55951679,84.82563386,0,0,0,1
9692.519676,46,0,1938.503935,0.0,217.5854168,1306.540654,562.1006412,396.0600612,427.9080997,723.6405654,305.6529262,0.0,155.4592027,3659.068174,138.1669474,102.740833,118.0366866,69.69419437,66.63931998,3.066947208,0.0,19.67796409,1,0,0,0
